Created as New Dataset,Sample 009 By Dylan Kletzing Monday, March 10, 2025
cm-1,A
3810.00,0.3436
3809.00,0.3436
3808.00,0.3437
3807.00,0.3436
3806.00,0.3433
3805.00,0.3430
3804.00,0.3430
3803.00,0.3430
3802.00,0.3428
3801.00,0.3424
3800.00,0.3421
3799.00,0.3419
3798.00,0.3419
3797.00,0.3417
3796.00,0.3415
3795.00,0.3415
3794.00,0.3416
3793.00,0.3415
3792.00,0.3410
3791.00,0.3406
3790.00,0.3402
3789.00,0.3399
3788.00,0.3397
3787.00,0.3393
3786.00,0.3389
3785.00,0.3388
3784.00,0.3388
3783.00,0.3390
3782.00,0.3391
3781.00,0.3391
3780.00,0.3390
3779.00,0.3390
3778.00,0.3391
3777.00,0.3391
3776.00,0.3391
3775.00,0.3387
3774.00,0.3383
3773.00,0.3381
3772.00,0.3382
3771.00,0.3384
3770.00,0.3385
3769.00,0.3384
3768.00,0.3383
3767.00,0.3382
3766.00,0.3380
3765.00,0.3378
3764.00,0.3376
3763.00,0.3375
3762.00,0.3374
3761.00,0.3372
3760.00,0.3370
3759.00,0.3368
3758.00,0.3368
3757.00,0.3369
3756.00,0.3370
3755.00,0.3371
3754.00,0.3372
3753.00,0.3371
3752.00,0.3369
3751.00,0.3366
3750.00,0.3362
3749.00,0.3358
3748.00,0.3354
3747.00,0.3352
3746.00,0.3350
3745.00,0.3352
3744.00,0.3354
3743.00,0.3354
3742.00,0.3352
3741.00,0.3349
3740.00,0.3345
3739.00,0.3344
3738.00,0.3347
3737.00,0.3350
3736.00,0.3349
3735.00,0.3346
3734.00,0.3345
3733.00,0.3348
3732.00,0.3350
3731.00,0.3348
3730.00,0.3343
3729.00,0.3340
3728.00,0.3339
3727.00,0.3338
3726.00,0.3336
3725.00,0.3335
3724.00,0.3335
3723.00,0.3335
3722.00,0.3334
3721.00,0.3333
3720.00,0.3332
3719.00,0.3330
3718.00,0.3327
3717.00,0.3326
3716.00,0.3325
3715.00,0.3326
3714.00,0.3327
3713.00,0.3327
3712.00,0.3326
3711.00,0.3324
3710.00,0.3324
3709.00,0.3327
3708.00,0.3330
3707.00,0.3332
3706.00,0.3330
3705.00,0.3327
3704.00,0.3325
3703.00,0.3325
3702.00,0.3328
3701.00,0.3331
3700.00,0.3333
3699.00,0.3335
3698.00,0.3336
3697.00,0.3336
3696.00,0.3337
3695.00,0.3338
3694.00,0.3339
3693.00,0.3340
3692.00,0.3339
3691.00,0.3338
3690.00,0.3338
3689.00,0.3341
3688.00,0.3344
3687.00,0.3347
3686.00,0.3346
3685.00,0.3343
3684.00,0.3338
3683.00,0.3335
3682.00,0.3334
3681.00,0.3334
3680.00,0.3334
3679.00,0.3334
3678.00,0.3336
3677.00,0.3338
3676.00,0.3339
3675.00,0.3338
3674.00,0.3336
3673.00,0.3336
3672.00,0.3338
3671.00,0.3338
3670.00,0.3337
3669.00,0.3336
3668.00,0.3336
3667.00,0.3337
3666.00,0.3338
3665.00,0.3339
3664.00,0.3341
3663.00,0.3344
3662.00,0.3347
3661.00,0.3348
3660.00,0.3349
3659.00,0.3351
3658.00,0.3353
3657.00,0.3355
3656.00,0.3356
3655.00,0.3357
3654.00,0.3357
3653.00,0.3358
3652.00,0.3360
3651.00,0.3364
3650.00,0.3368
3649.00,0.3370
3648.00,0.3370
3647.00,0.3371
3646.00,0.3373
3645.00,0.3376
3644.00,0.3379
3643.00,0.3379
3642.00,0.3376
3641.00,0.3372
3640.00,0.3369
3639.00,0.3368
3638.00,0.3367
3637.00,0.3367
3636.00,0.3367
3635.00,0.3368
3634.00,0.3369
3633.00,0.3369
3632.00,0.3369
3631.00,0.3368
3630.00,0.3367
3629.00,0.3366
3628.00,0.3366
3627.00,0.3366
3626.00,0.3366
3625.00,0.3364
3624.00,0.3360
3623.00,0.3359
3622.00,0.3362
3621.00,0.3365
3620.00,0.3365
3619.00,0.3364
3618.00,0.3363
3617.00,0.3362
3616.00,0.3362
3615.00,0.3361
3614.00,0.3360
3613.00,0.3358
3612.00,0.3357
3611.00,0.3356
3610.00,0.3355
3609.00,0.3351
3608.00,0.3346
3607.00,0.3340
3606.00,0.3335
3605.00,0.3332
3604.00,0.3328
3603.00,0.3320
3602.00,0.3310
3601.00,0.3299
3600.00,0.3289
3599.00,0.3280
3598.00,0.3272
3597.00,0.3263
3596.00,0.3254
3595.00,0.3246
3594.00,0.3239
3593.00,0.3232
3592.00,0.3225
3591.00,0.3217
3590.00,0.3211
3589.00,0.3205
3588.00,0.3201
3587.00,0.3196
3586.00,0.3191
3585.00,0.3187
3584.00,0.3185
3583.00,0.3183
3582.00,0.3181
3581.00,0.3180
3580.00,0.3179
3579.00,0.3176
3578.00,0.3173
3577.00,0.3171
3576.00,0.3169
3575.00,0.3167
3574.00,0.3167
3573.00,0.3165
3572.00,0.3163
3571.00,0.3161
3570.00,0.3158
3569.00,0.3156
3568.00,0.3154
3567.00,0.3150
3566.00,0.3148
3565.00,0.3148
3564.00,0.3150
3563.00,0.3151
3562.00,0.3149
3561.00,0.3146
3560.00,0.3142
3559.00,0.3138
3558.00,0.3136
3557.00,0.3134
3556.00,0.3134
3555.00,0.3133
3554.00,0.3132
3553.00,0.3131
3552.00,0.3130
3551.00,0.3129
3550.00,0.3127
3549.00,0.3124
3548.00,0.3122
3547.00,0.3121
3546.00,0.3121
3545.00,0.3122
3544.00,0.3123
3543.00,0.3124
3542.00,0.3124
3541.00,0.3123
3540.00,0.3121
3539.00,0.3119
3538.00,0.3118
3537.00,0.3117
3536.00,0.3116
3535.00,0.3117
3534.00,0.3118
3533.00,0.3118
3532.00,0.3119
3531.00,0.3118
3530.00,0.3118
3529.00,0.3118
3528.00,0.3118
3527.00,0.3119
3526.00,0.3120
3525.00,0.3121
3524.00,0.3123
3523.00,0.3123
3522.00,0.3122
3521.00,0.3120
3520.00,0.3118
3519.00,0.3118
3518.00,0.3121
3517.00,0.3124
3516.00,0.3126
3515.00,0.3127
3514.00,0.3126
3513.00,0.3125
3512.00,0.3125
3511.00,0.3125
3510.00,0.3125
3509.00,0.3126
3508.00,0.3129
3507.00,0.3131
3506.00,0.3133
3505.00,0.3135
3504.00,0.3136
3503.00,0.3138
3502.00,0.3140
3501.00,0.3142
3500.00,0.3143
3499.00,0.3143
3498.00,0.3143
3497.00,0.3144
3496.00,0.3145
3495.00,0.3146
3494.00,0.3147
3493.00,0.3149
3492.00,0.3151
3491.00,0.3155
3490.00,0.3159
3489.00,0.3163
3488.00,0.3166
3487.00,0.3169
3486.00,0.3172
3485.00,0.3176
3484.00,0.3182
3483.00,0.3189
3482.00,0.3197
3481.00,0.3203
3480.00,0.3208
3479.00,0.3212
3478.00,0.3217
3477.00,0.3225
3476.00,0.3236
3475.00,0.3248
3474.00,0.3258
3473.00,0.3267
3472.00,0.3277
3471.00,0.3289
3470.00,0.3301
3469.00,0.3313
3468.00,0.3323
3467.00,0.3334
3466.00,0.3345
3465.00,0.3354
3464.00,0.3362
3463.00,0.3365
3462.00,0.3365
3461.00,0.3363
3460.00,0.3361
3459.00,0.3359
3458.00,0.3355
3457.00,0.3351
3456.00,0.3346
3455.00,0.3341
3454.00,0.3334
3453.00,0.3326
3452.00,0.3318
3451.00,0.3311
3450.00,0.3304
3449.00,0.3295
3448.00,0.3286
3447.00,0.3278
3446.00,0.3271
3445.00,0.3266
3444.00,0.3262
3443.00,0.3258
3442.00,0.3255
3441.00,0.3252
3440.00,0.3248
3439.00,0.3245
3438.00,0.3241
3437.00,0.3237
3436.00,0.3234
3435.00,0.3232
3434.00,0.3229
3433.00,0.3227
3432.00,0.3227
3431.00,0.3228
3430.00,0.3230
3429.00,0.3232
3428.00,0.3231
3427.00,0.3230
3426.00,0.3228
3425.00,0.3227
3424.00,0.3227
3423.00,0.3228
3422.00,0.3229
3421.00,0.3231
3420.00,0.3232
3419.00,0.3232
3418.00,0.3231
3417.00,0.3231
3416.00,0.3230
3415.00,0.3230
3414.00,0.3230
3413.00,0.3231
3412.00,0.3233
3411.00,0.3235
3410.00,0.3236
3409.00,0.3236
3408.00,0.3236
3407.00,0.3235
3406.00,0.3234
3405.00,0.3235
3404.00,0.3236
3403.00,0.3238
3402.00,0.3239
3401.00,0.3239
3400.00,0.3239
3399.00,0.3239
3398.00,0.3240
3397.00,0.3242
3396.00,0.3245
3395.00,0.3249
3394.00,0.3251
3393.00,0.3252
3392.00,0.3251
3391.00,0.3251
3390.00,0.3252
3389.00,0.3252
3388.00,0.3253
3387.00,0.3253
3386.00,0.3253
3385.00,0.3254
3384.00,0.3256
3383.00,0.3258
3382.00,0.3259
3381.00,0.3261
3380.00,0.3261
3379.00,0.3262
3378.00,0.3263
3377.00,0.3263
3376.00,0.3262
3375.00,0.3261
3374.00,0.3260
3373.00,0.3260
3372.00,0.3262
3371.00,0.3264
3370.00,0.3265
3369.00,0.3262
3368.00,0.3257
3367.00,0.3253
3366.00,0.3251
3365.00,0.3252
3364.00,0.3253
3363.00,0.3254
3362.00,0.3254
3361.00,0.3253
3360.00,0.3252
3359.00,0.3250
3358.00,0.3249
3357.00,0.3249
3356.00,0.3250
3355.00,0.3252
3354.00,0.3254
3353.00,0.3255
3352.00,0.3254
3351.00,0.3252
3350.00,0.3249
3349.00,0.3248
3348.00,0.3249
3347.00,0.3250
3346.00,0.3250
3345.00,0.3248
3344.00,0.3247
3343.00,0.3246
3342.00,0.3247
3341.00,0.3247
3340.00,0.3247
3339.00,0.3247
3338.00,0.3245
3337.00,0.3244
3336.00,0.3244
3335.00,0.3246
3334.00,0.3248
3333.00,0.3249
3332.00,0.3248
3331.00,0.3246
3330.00,0.3244
3329.00,0.3242
3328.00,0.3242
3327.00,0.3242
3326.00,0.3243
3325.00,0.3244
3324.00,0.3244
3323.00,0.3244
3322.00,0.3244
3321.00,0.3242
3320.00,0.3242
3319.00,0.3242
3318.00,0.3243
3317.00,0.3244
3316.00,0.3244
3315.00,0.3244
3314.00,0.3243
3313.00,0.3243
3312.00,0.3243
3311.00,0.3242
3310.00,0.3242
3309.00,0.3242
3308.00,0.3242
3307.00,0.3243
3306.00,0.3242
3305.00,0.3241
3304.00,0.3240
3303.00,0.3239
3302.00,0.3239
3301.00,0.3239
3300.00,0.3240
3299.00,0.3241
3298.00,0.3242
3297.00,0.3241
3296.00,0.3241
3295.00,0.3240
3294.00,0.3240
3293.00,0.3241
3292.00,0.3243
3291.00,0.3246
3290.00,0.3248
3289.00,0.3249
3288.00,0.3248
3287.00,0.3247
3286.00,0.3247
3285.00,0.3249
3284.00,0.3251
3283.00,0.3254
3282.00,0.3255
3281.00,0.3256
3280.00,0.3256
3279.00,0.3257
3278.00,0.3259
3277.00,0.3261
3276.00,0.3262
3275.00,0.3263
3274.00,0.3265
3273.00,0.3267
3272.00,0.3268
3271.00,0.3270
3270.00,0.3270
3269.00,0.3270
3268.00,0.3269
3267.00,0.3269
3266.00,0.3271
3265.00,0.3275
3264.00,0.3278
3263.00,0.3281
3262.00,0.3284
3261.00,0.3286
3260.00,0.3290
3259.00,0.3294
3258.00,0.3299
3257.00,0.3303
3256.00,0.3305
3255.00,0.3307
3254.00,0.3309
3253.00,0.3311
3252.00,0.3313
3251.00,0.3315
3250.00,0.3317
3249.00,0.3321
3248.00,0.3325
3247.00,0.3330
3246.00,0.3333
3245.00,0.3335
3244.00,0.3338
3243.00,0.3342
3242.00,0.3348
3241.00,0.3355
3240.00,0.3360
3239.00,0.3365
3238.00,0.3368
3237.00,0.3372
3236.00,0.3378
3235.00,0.3383
3234.00,0.3388
3233.00,0.3391
3232.00,0.3395
3231.00,0.3400
3230.00,0.3407
3229.00,0.3415
3228.00,0.3423
3227.00,0.3431
3226.00,0.3438
3225.00,0.3443
3224.00,0.3448
3223.00,0.3456
3222.00,0.3465
3221.00,0.3475
3220.00,0.3484
3219.00,0.3492
3218.00,0.3500
3217.00,0.3509
3216.00,0.3517
3215.00,0.3526
3214.00,0.3537
3213.00,0.3547
3212.00,0.3556
3211.00,0.3563
3210.00,0.3571
3209.00,0.3579
3208.00,0.3589
3207.00,0.3599
3206.00,0.3610
3205.00,0.3620
3204.00,0.3632
3203.00,0.3643
3202.00,0.3652
3201.00,0.3661
3200.00,0.3668
3199.00,0.3676
3198.00,0.3685
3197.00,0.3695
3196.00,0.3705
3195.00,0.3715
3194.00,0.3723
3193.00,0.3730
3192.00,0.3737
3191.00,0.3743
3190.00,0.3748
3189.00,0.3753
3188.00,0.3760
3187.00,0.3766
3186.00,0.3771
3185.00,0.3776
3184.00,0.3779
3183.00,0.3783
3182.00,0.3786
3181.00,0.3790
3180.00,0.3794
3179.00,0.3798
3178.00,0.3802
3177.00,0.3805
3176.00,0.3808
3175.00,0.3810
3174.00,0.3812
3173.00,0.3813
3172.00,0.3814
3171.00,0.3815
3170.00,0.3817
3169.00,0.3819
3168.00,0.3821
3167.00,0.3822
3166.00,0.3823
3165.00,0.3824
3164.00,0.3826
3163.00,0.3827
3162.00,0.3828
3161.00,0.3829
3160.00,0.3830
3159.00,0.3832
3158.00,0.3833
3157.00,0.3833
3156.00,0.3835
3155.00,0.3838
3154.00,0.3842
3153.00,0.3847
3152.00,0.3849
3151.00,0.3850
3150.00,0.3850
3149.00,0.3851
3148.00,0.3851
3147.00,0.3852
3146.00,0.3853
3145.00,0.3854
3144.00,0.3855
3143.00,0.3857
3142.00,0.3860
3141.00,0.3863
3140.00,0.3867
3139.00,0.3870
3138.00,0.3872
3137.00,0.3874
3136.00,0.3876
3135.00,0.3877
3134.00,0.3879
3133.00,0.3882
3132.00,0.3887
3131.00,0.3893
3130.00,0.3899
3129.00,0.3904
3128.00,0.3907
3127.00,0.3910
3126.00,0.3913
3125.00,0.3917
3124.00,0.3922
3123.00,0.3926
3122.00,0.3932
3121.00,0.3937
3120.00,0.3943
3119.00,0.3947
3118.00,0.3952
3117.00,0.3958
3116.00,0.3965
3115.00,0.3972
3114.00,0.3978
3113.00,0.3983
3112.00,0.3989
3111.00,0.3997
3110.00,0.4006
3109.00,0.4017
3108.00,0.4028
3107.00,0.4038
3106.00,0.4046
3105.00,0.4054
3104.00,0.4062
3103.00,0.4072
3102.00,0.4083
3101.00,0.4094
3100.00,0.4106
3099.00,0.4117
3098.00,0.4129
3097.00,0.4140
3096.00,0.4151
3095.00,0.4163
3094.00,0.4175
3093.00,0.4188
3092.00,0.4203
3091.00,0.4219
3090.00,0.4234
3089.00,0.4250
3088.00,0.4267
3087.00,0.4285
3086.00,0.4303
3085.00,0.4321
3084.00,0.4339
3083.00,0.4357
3082.00,0.4374
3081.00,0.4391
3080.00,0.4410
3079.00,0.4431
3078.00,0.4454
3077.00,0.4476
3076.00,0.4498
3075.00,0.4519
3074.00,0.4540
3073.00,0.4561
3072.00,0.4584
3071.00,0.4607
3070.00,0.4631
3069.00,0.4655
3068.00,0.4679
3067.00,0.4703
3066.00,0.4726
3065.00,0.4751
3064.00,0.4777
3063.00,0.4806
3062.00,0.4836
3061.00,0.4864
3060.00,0.4889
3059.00,0.4914
3058.00,0.4939
3057.00,0.4966
3056.00,0.4994
3055.00,0.5023
3054.00,0.5054
3053.00,0.5085
3052.00,0.5119
3051.00,0.5155
3050.00,0.5192
3049.00,0.5230
3048.00,0.5270
3047.00,0.5311
3046.00,0.5353
3045.00,0.5396
3044.00,0.5439
3043.00,0.5480
3042.00,0.5521
3041.00,0.5564
3040.00,0.5608
3039.00,0.5654
3038.00,0.5701
3037.00,0.5749
3036.00,0.5801
3035.00,0.5856
3034.00,0.5914
3033.00,0.5974
3032.00,0.6035
3031.00,0.6098
3030.00,0.6162
3029.00,0.6228
3028.00,0.6294
3027.00,0.6362
3026.00,0.6430
3025.00,0.6500
3024.00,0.6572
3023.00,0.6646
3022.00,0.6721
3021.00,0.6798
3020.00,0.6879
3019.00,0.6966
3018.00,0.7061
3017.00,0.7164
3016.00,0.7271
3015.00,0.7382
3014.00,0.7496
3013.00,0.7614
3012.00,0.7738
3011.00,0.7869
3010.00,0.8009
3009.00,0.8159
3008.00,0.8318
3007.00,0.8484
3006.00,0.8656
3005.00,0.8835
3004.00,0.9024
3003.00,0.9228
3002.00,0.9450
3001.00,0.9690
3000.00,0.9943
2999.00,1.0209
2998.00,1.0494
2997.00,1.0801
2996.00,1.1135
2995.00,1.1497
2994.00,1.1888
2993.00,1.2310
2992.00,1.2760
2991.00,1.3233
2990.00,1.3729
2989.00,1.4260
2988.00,1.4847
2987.00,1.5497
2986.00,1.6206
2985.00,1.6951
2984.00,1.7720
2983.00,1.8530
2982.00,1.9419
2981.00,2.0422
2980.00,2.1520
2979.00,2.2628
2978.00,2.3593
2977.00,2.4289
2976.00,2.4742
2975.00,2.5120
2974.00,2.5578
2973.00,2.6118
2972.00,2.6654
2971.00,2.7162
2970.00,2.7704
2969.00,2.8269
2968.00,2.8633
2967.00,2.8547
2966.00,2.8062
2965.00,2.7487
2964.00,2.7114
2963.00,2.7114
2962.00,2.7522
2961.00,2.8203
2960.00,2.8832
2959.00,2.9029
2958.00,2.8705
2957.00,2.8181
2956.00,2.7905
2955.00,2.8182
2954.00,2.9043
2953.00,3.0072
2952.00,3.0413
2951.00,2.9872
2950.00,2.9219
2949.00,2.8883
2948.00,2.8803
2947.00,2.8800
2946.00,2.8818
2945.00,2.8817
2944.00,2.8737
2943.00,2.8693
2942.00,2.8929
2941.00,2.9539
2940.00,3.0362
2939.00,3.1134
2938.00,3.1641
2937.00,3.1676
2936.00,3.1097
2935.00,3.0170
2934.00,2.9471
2933.00,2.9357
2932.00,2.9975
2931.00,3.1293
2930.00,3.3093
2929.00,3.4594
2928.00,3.4601
2927.00,3.3520
2926.00,3.2501
2925.00,3.1813
2924.00,3.1227
2923.00,3.0687
2922.00,3.0403
2921.00,3.0519
2920.00,3.0996
2919.00,3.1719
2918.00,3.2648
2917.00,3.3391
2916.00,3.2682
2915.00,3.1008
2914.00,2.9762
2913.00,2.9344
2912.00,2.9390
2911.00,2.9357
2910.00,2.9181
2909.00,2.9171
2908.00,2.9543
2907.00,3.0184
2906.00,3.0699
2905.00,3.0648
2904.00,3.0157
2903.00,2.9707
2902.00,2.9528
2901.00,2.9479
2900.00,2.9330
2899.00,2.9142
2898.00,2.9079
2897.00,2.9152
2896.00,2.9275
2895.00,2.9362
2894.00,2.9305
2893.00,2.9024
2892.00,2.8714
2891.00,2.8665
2890.00,2.8882
2889.00,2.9023
2888.00,2.8838
2887.00,2.8552
2886.00,2.8455
2885.00,2.8456
2884.00,2.8238
2883.00,2.7777
2882.00,2.7355
2881.00,2.7162
2880.00,2.7193
2879.00,2.7375
2878.00,2.7609
2877.00,2.7759
2876.00,2.7773
2875.00,2.7809
2874.00,2.8012
2873.00,2.8265
2872.00,2.8323
2871.00,2.8200
2870.00,2.8146
2869.00,2.8267
2868.00,2.8475
2867.00,2.8667
2866.00,2.8830
2865.00,2.9018
2864.00,2.9288
2863.00,2.9689
2862.00,3.0204
2861.00,3.0726
2860.00,3.1134
2859.00,3.1343
2858.00,3.1250
2857.00,3.0844
2856.00,3.0355
2855.00,3.0081
2854.00,3.0085
2853.00,3.0137
2852.00,2.9989
2851.00,2.9635
2850.00,2.9309
2849.00,2.9145
2848.00,2.9044
2847.00,2.8844
2846.00,2.8459
2845.00,2.7940
2844.00,2.7457
2843.00,2.7250
2842.00,2.7369
2841.00,2.7422
2840.00,2.6861
2839.00,2.5758
2838.00,2.4587
2837.00,2.3537
2836.00,2.2537
2835.00,2.1522
2834.00,2.0528
2833.00,1.9621
2832.00,1.8814
2831.00,1.8080
2830.00,1.7391
2829.00,1.6738
2828.00,1.6125
2827.00,1.5555
2826.00,1.5028
2825.00,1.4548
2824.00,1.4116
2823.00,1.3725
2822.00,1.3358
2821.00,1.3002
2820.00,1.2654
2819.00,1.2325
2818.00,1.2022
2817.00,1.1741
2816.00,1.1474
2815.00,1.1217
2814.00,1.0974
2813.00,1.0745
2812.00,1.0524
2811.00,1.0307
2810.00,1.0096
2809.00,0.9892
2808.00,0.9698
2807.00,0.9512
2806.00,0.9334
2805.00,0.9164
2804.00,0.9001
2803.00,0.8843
2802.00,0.8688
2801.00,0.8537
2800.00,0.8391
2799.00,0.8250
2798.00,0.8115
2797.00,0.7987
2796.00,0.7864
2795.00,0.7746
2794.00,0.7632
2793.00,0.7524
2792.00,0.7421
2791.00,0.7324
2790.00,0.7229
2789.00,0.7136
2788.00,0.7045
2787.00,0.6957
2786.00,0.6871
2785.00,0.6788
2784.00,0.6704
2783.00,0.6620
2782.00,0.6533
2781.00,0.6448
2780.00,0.6369
2779.00,0.6295
2778.00,0.6228
2777.00,0.6166
2776.00,0.6106
2775.00,0.6048
2774.00,0.5992
2773.00,0.5939
2772.00,0.5891
2771.00,0.5849
2770.00,0.5813
2769.00,0.5781
2768.00,0.5751
2767.00,0.5724
2766.00,0.5699
2765.00,0.5676
2764.00,0.5657
2763.00,0.5641
2762.00,0.5629
2761.00,0.5620
2760.00,0.5611
2759.00,0.5601
2758.00,0.5593
2757.00,0.5586
2756.00,0.5582
2755.00,0.5579
2754.00,0.5576
2753.00,0.5573
2752.00,0.5573
2751.00,0.5579
2750.00,0.5587
2749.00,0.5597
2748.00,0.5606
2747.00,0.5615
2746.00,0.5627
2745.00,0.5643
2744.00,0.5662
2743.00,0.5684
2742.00,0.5709
2741.00,0.5737
2740.00,0.5768
2739.00,0.5802
2738.00,0.5838
2737.00,0.5877
2736.00,0.5917
2735.00,0.5959
2734.00,0.6005
2733.00,0.6051
2732.00,0.6092
2731.00,0.6122
2730.00,0.6136
2729.00,0.6134
2728.00,0.6117
2727.00,0.6087
2726.00,0.6048
2725.00,0.6005
2724.00,0.5962
2723.00,0.5921
2722.00,0.5885
2721.00,0.5852
2720.00,0.5823
2719.00,0.5799
2718.00,0.5777
2717.00,0.5754
2716.00,0.5728
2715.00,0.5697
2714.00,0.5663
2713.00,0.5627
2712.00,0.5593
2711.00,0.5561
2710.00,0.5533
2709.00,0.5509
2708.00,0.5488
2707.00,0.5468
2706.00,0.5452
2705.00,0.5441
2704.00,0.5433
2703.00,0.5428
2702.00,0.5424
2701.00,0.5423
2700.00,0.5426
2699.00,0.5432
2698.00,0.5441
2697.00,0.5452
2696.00,0.5466
2695.00,0.5481
2694.00,0.5499
2693.00,0.5519
2692.00,0.5541
2691.00,0.5562
2690.00,0.5582
2689.00,0.5601
2688.00,0.5618
2687.00,0.5634
2686.00,0.5648
2685.00,0.5658
2684.00,0.5664
2683.00,0.5667
2682.00,0.5666
2681.00,0.5665
2680.00,0.5665
2679.00,0.5665
2678.00,0.5665
2677.00,0.5662
2676.00,0.5659
2675.00,0.5656
2674.00,0.5653
2673.00,0.5649
2672.00,0.5643
2671.00,0.5635
2670.00,0.5623
2669.00,0.5607
2668.00,0.5585
2667.00,0.5560
2666.00,0.5535
2665.00,0.5509
2664.00,0.5481
2663.00,0.5450
2662.00,0.5417
2661.00,0.5384
2660.00,0.5355
2659.00,0.5330
2658.00,0.5309
2657.00,0.5289
2656.00,0.5271
2655.00,0.5253
2654.00,0.5233
2653.00,0.5213
2652.00,0.5193
2651.00,0.5175
2650.00,0.5158
2649.00,0.5142
2648.00,0.5126
2647.00,0.5110
2646.00,0.5095
2645.00,0.5080
2644.00,0.5066
2643.00,0.5053
2642.00,0.5040
2641.00,0.5027
2640.00,0.5014
2639.00,0.5002
2638.00,0.4988
2637.00,0.4974
2636.00,0.4962
2635.00,0.4954
2634.00,0.4947
2633.00,0.4939
2632.00,0.4929
2631.00,0.4919
2630.00,0.4908
2629.00,0.4898
2628.00,0.4889
2627.00,0.4880
2626.00,0.4871
2625.00,0.4862
2624.00,0.4854
2623.00,0.4846
2622.00,0.4838
2621.00,0.4831
2620.00,0.4823
2619.00,0.4814
2618.00,0.4804
2617.00,0.4792
2616.00,0.4779
2615.00,0.4769
2614.00,0.4760
2613.00,0.4752
2612.00,0.4744
2611.00,0.4735
2610.00,0.4725
